carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,9956.877613086917
0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,16485.7868410327
0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,13351.153799843114
0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,14174.892546656609
0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,6758.483271382963
1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,20771.08134014844
0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,10139.036911045556
0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,17610.256676776677
0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,17516.768059522306
0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,9394.41784967767
1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,29930.389303016225
0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,11983.053681929929
1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,27881.756457848962
0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,7145.906213649688
0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,5352.276155888233
0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,9879.343556313264
0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,7972.248189316676
0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,5978.1327091782905
0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,7794.57243606711
1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,53397.85401732626
1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,21767.789600222513
1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,30058.959134029137
0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,9350.949528083325
0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,10728.913035959324
0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,19829.41378947689
0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,12770.302118372378
1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,18704.000665806223
1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,26311.811964802575
0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,6679.63616818269
0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,19054.55362153581
1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,41882.458373613816
0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,5533.9389380961275
0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,11768.591473041128
1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,26080.33534890795
1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,22854.844537139757
0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,14616.40937664667
0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,11939.557192206441
0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,26359.00151613967
0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,12123.650913026546
0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,12284.874595389316
1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,41420.75564973586
0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,8816.675780941268
0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,14121.455297189497
1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,23019.64881753605
0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,10679.645174503888
0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,7083.040524656139
0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,6958.352227571788
1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,26630.818915144027
0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,6189.404477318856
0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,8414.453987712011
0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,23312.66150769265
0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,7676.349224562802
0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,13502.583452674007
0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,12015.516153624096
0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,10540.413923508848
0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,10180.265259642558
0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,11958.659355735852
0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,7443.293371795816
0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,22323.511593524454
0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,14232.781917962693
0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,14890.61371966601
0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,6071.694846797674
0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,14613.841889286428
0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,20819.66877410819
0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,21193.48576966296
0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,14214.04186776608
1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,37081.11905297818
1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,33827.22385578561
0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,11228.742321890193
1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,25543.474339930704
2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,40659.438513422334
1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,33353.38784411919
0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,10964.03461375806
0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,16461.188254120676
1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,26223.674311506413
1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,23039.472643205292
1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,22838.7902344755
0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,19031.136388367973
1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,23062.554492873867
1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,35184.27218921752
0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,11529.171399281558
0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,7009.390196388403
0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,6218.176210444948
0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,7652.517321349929
0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,19279.136820266267
0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,8730.211804103341
1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,20009.62795167574
0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,13626.255435113131
1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,13761.693309076787
0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,14343.978206143527
0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,6419.5228135475045
0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,10094.07360599823
1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,32036.550809794964
0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,7677.158384971909
0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,8004.5251092389135
1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,31021.37700605573
1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,20854.443653326787
0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,8885.245534729684
0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,13106.679382407981
1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,28741.627237847395
1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,18448.160313611486
1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,13489.78049189728
0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,20224.494969231047
0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,6809.251344375109
1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,21045.082605457435
0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,20297.460804208706
0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,11240.979044079013
0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,8562.376082931123
0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,12807.371936525054
1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,19850.325800069648
1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,23697.912031477415
1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,24585.895714783786
0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,21245.300507611166
1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,17096.6159588687
0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,6913.148776056366
1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,35853.7769289094
0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,8393.342329205181
1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,26841.234742021625
1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,34782.35215094106
0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,7715.691912249457
0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,9792.258587957274
0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,16645.26019647742
0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,20447.774973887856
0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,23333.96738115202
0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,20012.791843441806
1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,20737.53834871168
0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,18871.666004796913
0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,9082.037453802468
0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,8023.953952946636
1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,34558.21725568158
1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,25000.09099161822
0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,12304.745393765941
0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,6796.822183799158
1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,44637.13891894655
2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,30150.981389805318
0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,7566.429522800484
0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,9275.852216255316
1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,24278.159444269324
0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,8272.138512763499
0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,12789.160598754352
0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,18690.86210836675
0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,11384.06330812697
0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,8650.368468446692
1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,20024.04528850075
1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,31798.252914385273
0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,13785.405823446059
0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,9037.950247715904
0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,15071.678488040123
0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,19165.001169741176
0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,11401.27524010887
1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,18244.150964298122
1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,24207.463170485695
1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,25447.626260612356
2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,43008.327217932965
1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,39604.10227151268
2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,31591.127368037603
0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,8488.83840980909
0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,18868.682517577752
0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,21704.4033449022
2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,21301.35781458046
0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,9635.099439511294
0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,15022.247893175747
1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,19517.335706007074
0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,12596.952824466047
1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,31563.390963024558
0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,6556.748681628913
1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,33075.648031502016
1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,30656.238056635717
1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,42682.418863719315
0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,20580.39350186786
0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,8896.647417167642
2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,40793.228093175116
0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,7858.09143097889
0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,13811.58531007969
0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,24058.655990020296
1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,19546.84459448979
1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,29005.385219745087
0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,8766.019435261083
0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,11643.765351399727
1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,20315.654134919918
0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,18185.59345355036
0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,18819.68832531871
0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,10246.471603680882
0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,18107.49093131225
0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,19419.86268655972
1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,23685.426050634953
0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,14252.297780048364
1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,28832.655540858144
0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,17225.041555569325
1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,31651.121212779282
0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,13284.47578120473
1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,15122.33433273185
2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,36732.95334150723
0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,10451.723867848787
0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,16062.12189679533
0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,20483.727825733356
1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,46381.38243159119
0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,15669.977012719131
0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,19945.40386110929
0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,9203.297933615462
0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,7500.2595729569275
0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,8372.724886970089
1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,26626.60875649408
1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,38549.737342096014
1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,21814.10944804586
0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,11101.253226075542
0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,16805.095274895946
1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,27104.213162720927
0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,12169.31445124576
0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,9611.769440085027
0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,8714.888616144435
0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,14593.06185634193
1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,35466.00875122325
1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,26903.548769460616
0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,27918.516270466003
0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,7416.405741445409
0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,8298.483183699567
0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,10524.316704803348
0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,15236.464927443945
0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,12925.357557069652
0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,7246.660900339962
1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,23780.90250980952
0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,10221.661255003542
1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,22751.492290960676
0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,10849.266833275764
0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,21189.390722771303
0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,10509.53636161872
1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,20548.60233572127
0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,7693.494669667715
1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,21218.818178761834
1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,28859.00623917924
1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,16978.689836956153
1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,26555.13781021697
0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,20089.93426046023
0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,14957.731139673042
0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,17306.329019578792
0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,7252.519273365259
0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,17578.72968168169
1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,24141.213353377185
1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,27551.63649464378
1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,34067.55795608618
0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,15601.85615600801
0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,9878.302289053574
0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,12155.42652822449
0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,13559.156269572932
0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,8739.111595094148
0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,10996.054342028161
0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,16993.908436081754
1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,35397.54018787137
1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,29980.90840518003
1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,25361.93785680194
0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,12220.515847971426
0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,12201.63844168254
0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,11885.147547896238
0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,8134.944873012593
1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,24161.578578364086
0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,11566.2952676805
0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,11595.184112851945
0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,10928.651808011471
0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,7970.427732694011
1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,40580.943824007576
1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,25750.726709560684
1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,30348.131555315562
1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,35308.728628438104
0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,8711.368088943704
2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,44747.841872627454
1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,23811.00076211977
0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,8518.2671700843
2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,40585.221442462134
0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,15780.476658423171
1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,9386.829313605655
1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,35672.83675947092
0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,10614.182134328707
1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,41929.57368496704
0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,8662.534125449798
1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,23847.001381094367
0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,9301.961205563435
1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,11540.924517997713
1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,24939.118770352252
1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,25153.83733242284
2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,30895.202936764108
0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,16072.283179093674
0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,23691.252022810273
0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,5946.082861766534
1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,16625.972136819677
2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,33569.11882908652
0.28,Ideal,G,IF,60.9,57.0,4.24,4.27,2.59,9225.312343806032
1.52,Ideal,I,SI1,61.4,57.0,7.4,7.43,4.55,28241.61884531646
0.4,Good,D,VS1,56.3,59.0,4.94,4.97,2.79,10769.701699324238
1.7,Very Good,F,SI2,63.4,57.0,7.54,7.57,4.79,33704.43666531879
2.01,Good,J,SI2,63.4,59.0,7.95,7.99,5.05,25907.72390876464
0.3,Ideal,D,VS2,62.2,54.0,4.31,4.28,2.67,7590.92673532987
0.55,Very Good,E,VS2,61.6,60.0,5.23,5.27,3.23,14833.957111980677
0.33,Premium,E,VVS1,59.7,58.0,4.52,4.49,2.69,10672.51826519558
1.16,Ideal,G,VVS2,62.0,56.0,6.75,6.71,4.17,36064.133373328514
1.51,Very Good,J,SI1,62.9,59.0,7.25,7.29,4.57,23985.22780648882
0.29,Ideal,F,VS1,61.6,56.0,4.26,4.31,2.64,7509.752261677471
0.7,Very Good,E,VS1,63.4,57.0,5.63,5.67,3.58,20291.39998196374
0.39,Premium,H,SI2,61.2,58.0,4.51,6.02,4.44,13002.105088682181
0.52,Ideal,E,VS2,61.2,56.0,5.2,5.16,3.17,13233.697810722693
2.17,Premium,H,SI1,59.9,61.0,8.39,8.38,5.02,45330.96438746115
1.37,Ideal,H,VS1,63.8,56.0,7.01,6.98,4.46,34100.490045096136
